target,beam,min_efrac,map,wsum,wsum_pass,nfire,rate,rate_pass
eat,4,0.0,1,105.77438003002841,67.83577034653453,8329994,1.2698013951754156e-05,8.143555727235161e-06
eat,4,0.0,5,19.02271675573018,0.6469569109956882,497312,3.825107127061117e-05,1.3009075007152215e-06
eat,4,0.0,10,0.7118428668572758,0.059047804332960196,179931,3.956199136653916e-06,3.281691555816407e-07
eat,4,0.0,50,0.0021326814005552326,0.0004817219304353392,66817,3.191824536503035e-08,7.209571373083784e-09
eat,4,0.0,100,0.00029285082964976907,0.00010308827096825559,104074,2.813871184443464e-09,9.905285755160327e-10
eat,4,0.0,500,1.6515037764814253e-07,1.3339155737987198e-07,127588,1.2944036872444316e-12,1.04548670235345e-12
eat,4,0.0,1000,2.286198407639674e-09,2.054169946734235e-09,446295,5.12261712015522e-15,4.602717813854592e-15
eat,4,0.5,1,2.783838324287723,1.7434197067014203,228739,1.2170370266057485e-05,7.621873430859715e-06
eat,4,0.5,5,0.16745396981382207,0.11825868491052727,97023,1.7259203468643732e-06,1.2188726890585457e-06
eat,4,0.5,10,0.041702525492657835,0.03050896401866649,92023,4.5317502681566387e-07,3.315362900434293e-07
eat,4,0.5,50,0.0012116815425057192,0.0009293369661619727,128703,9.414555546535195e-09,7.2207871313176285e-09
eat,4,0.5,100,0.0002536243510685068,0.00019310989149723146,197048,1.287119641247345e-09,9.800144710792875e-10
eat,4,0.5,500,1.6435355772829348e-07,1.423220517577398e-07,135591,1.2121273368313051e-12,1.0496423196063146e-12
eat,4,0.5,1000,2.290033762892901e-09,2.0638329382850653e-09,449460,5.0950780111531635e-15,4.5918055851133924e-15
eat,8,0.0,1,108.16908143518376,108.16908143518376,24693237,4.380514447546255e-06,4.380514447546255e-06
eat,8,0.0,5,2.002199567344769,1.721516866794706,1200673,1.6675644137452654e-06,1.433793269936699e-06
eat,8,0.0,10,3.295622562167342,0.15118251707595753,353064,9.334348906054827e-06,4.2820145094361795e-07
eat,8,0.0,50,0.004707278537623845,0.000811134668887001,75220,6.258014540845314e-08,1.0783497326336095e-08
eat,8,0.0,100,0.00042194470808857795,0.0001168147248005317,70353,5.997536822716557e-09,1.6604085795990463e-09
eat,8,0.0,500,5.185070852228839e-07,3.894577027858163e-07,72220,7.179549781540901e-12,5.392657197255833e-12
eat,8,0.0,1000,7.639836641412857e-09,6.565622706705268e-09,92739,8.237997650840377e-14,7.079678136172773e-14
eat,8,0.5,1,2.8108335593745952,1.8946373037541093,226284,1.2421707055623001e-05,8.372829293074674e-06
eat,8,0.5,5,0.17275433356008382,0.12752556256129619,95308,1.8125900612759037e-06,1.3380362882580285e-06
eat,8,0.5,10,0.04638523276967188,0.0350950369142429,85944,5.397146138144825e-07,4.0834772542868494e-07
eat,8,0.5,50,0.001398503989493604,0.0011044427923767176,102091,1.3698602124512483e-08,1.0818218965204745e-08
eat,8,0.5,100,0.0002865011104560621,0.00023179091117428641,139149,2.0589519899967812e-09,1.6657748972273349e-09
